Tx Time (sec), Rx Time (sec), Pulse Width (sec), Amplitude (V), Carrier Frequency (Hz), Leading Edge Phase (rad), SNR (dB), PRI (sec), Emitter ID, Antenna ID, General Mode, Exact Mode, Index, Received Azimuth (deg), Received Elevation (deg), Tx North (km), Tx East (km), Tx Down (km), Rx North (km), Rx East (km), Rx Down (km), Modulation Type, Chirp Bandwidth (Hz), Chirp Direction, Chip Count
0.0000000000, 0.0003669205, 0.0000116000, 0.0000718396, 8640000000.0000000000, -1.0101052099, 28.1169775553, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0001490000, 0.0005159205, 0.0000116000, 0.0000695473, 8640000000.0000000000, -1.0101052126, 27.8353010239, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0002980000, 0.0006649205, 0.0000116000, 0.0000672185, 8640000000.0000000000, -1.0101052094, 27.5394808488, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0004470000, 0.0008139205, 0.0000116000, 0.0000648545, 8640000000.0000000000, 5.2730800980, 27.2285039721, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0005960000, 0.0009629205, 0.0000116000, 0.0000624563, 8640000000.0000000000, -1.0101052090, 26.9012278637, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0007450000, 0.0011119205, 0.0000116000, 0.0000600251, 8640000000.0000000000, -1.0101052117, 26.5563578027, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0008940000, 0.0012609205, 0.0000116000, 0.0000575620, 8640000000.0000000000, -1.0101052144, 26.1924189270, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0010430000, 0.0014099205, 0.0000116000, 0.0000550682, 8640000000.0000000000, -1.0101052171, 25.8077215333, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0011920000, 0.0015589205, 0.0000116000, 0.0000525449, 8640000000.0000000000, -1.0101052081, 25.4003175773, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0013410000, 0.0017079205, 0.0000116000, 0.0000499934, 8640000000.0000000000, -1.0101052108, 24.9679455494, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0014900000, 0.0018569205, 0.0000116000, 0.0000474147, 8640000000.0000000000, -1.0101052136, 24.5079597892, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0016390000, 0.0020059205, 0.0000116000, 0.0000448102, 8640000000.0000000000, -1.0101052163, 24.0172386514, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0017880000, 0.0021549205, 0.0000116000, 0.0000421811, 8640000000.0000000000, -1.0101052072, 23.4920634455, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0019370000, 0.0023039205, 0.0000116000, 0.0000395287, 8640000000.0000000000, -1.0101052100, 22.9279562236, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0020860000, 0.0024529205, 0.0000116000, 0.0000368543, 8640000000.0000000000, -1.0101052243, 22.3194584015, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0022350000, 0.0026019205, 0.0000116000, 0.0000341591, 8640000000.0000000000, -1.0101052153, 21.6598222622, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0023840000, 0.0027509205, 0.0000116000, 0.0000314444, 8640000000.0000000000, -1.0101052062, 20.9405706647, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0025330000, 0.0028999205, 0.0000116000, 0.0000287116, 8640000000.0000000000, 5.2730800866, 20.1508510267, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0026820000, 0.0030489205, 0.0000116000, 0.0000259620, 8640000000.0000000000, 5.2730800957, 19.2764562316, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0028310000, 0.0031979205, 0.0000116000, 0.0000231969, 8640000000.0000000000, 5.2730800813, 18.2982824431, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0029800000, 0.0033469205, 0.0000116000, 0.0000204176, 8640000000.0000000000, 5.2730800904, 17.1897841050, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0031290000, 0.0034959205, 0.0000116000, 0.0000176255, 8640000000.0000000000, 5.2730800994, 15.9125250023, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0032780000, 0.0036449205, 0.0000116000, 0.0000148220, 8640000000.0000000000, 5.2730800851, 14.4078103856, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0034270000, 0.0037939205, 0.0000116000, 0.0000120083, 8640000000.0000000000, 5.2730800941, 12.5793533027, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0035760000, 0.0039429205, 0.0000116000, 0.0000091860, 8640000000.0000000000, 5.2730800562, 10.2522166184, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0037250000, 0.0040919205, 0.0000116000, 0.0000063563, 8640000000.0000000000, 5.2730800653, 7.0537842599, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0038740000, 0.0042409205, 0.0000116000, 0.0000035206, 8640000000.0000000000, 5.2730800744, 1.9221370647, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0040230000, 0.0043899205, 0.0000116000, 0.0000006804, 8640000000.0000000000, 5.2730800834, -12.3549613988, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0041720000, 0.0045389205, 0.0000116000, 0.0000021630, 8640000000.0000000000, 5.2730800457, -2.3090549085, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0043210000, 0.0046879205, 0.0000116000, 0.0000050083, 8640000000.0000000000, 5.2730800547, 4.9834474562, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0044700000, 0.0048369205, 0.0000116000, 0.0000078539, 8640000000.0000000000, 5.2730800638, 8.8914240678, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0046190000, 0.0049859205, 0.0000116000, 0.0000106986, 8640000000.0000000000, 5.2730800728, 11.5762245860, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0047680000, 0.0051349205, 0.0000116000, 0.0000135409, 8640000000.0000000000, 5.2730800819, 13.6226327041, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0049170000, 0.0052839205, 0.0000116000, 0.0000163794, 8640000000.0000000000, 5.2730800441, 15.2756540969, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0050660000, 0.0054329205, 0.0000116000, 0.0000192127, 8640000000.0000000000, 5.2730800532, 16.6614856414, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0052150000, 0.0055819205, 0.0000116000, 0.0000220395, 8640000000.0000000000, 5.2730800622, 17.8537455121, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0053640000, 0.0057309205, 0.0000116000, 0.0000248584, 8640000000.0000000000, 5.2730800713, 18.8991502774, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0055130000, 0.0058799205, 0.0000116000, 0.0000276679, 8640000000.0000000000, 5.2730800804, 19.8292096764, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0056620000, 0.0060289205, 0.0000116000, 0.0000304666, 8640000000.0000000000, 5.2730800426, 20.6661848368, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0058110000, 0.0061779205, 0.0000116000, 0.0000332533, 8640000000.0000000000, 5.2730800517, 21.4263869304, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0059600000, 0.0063269205, 0.0000116000, 0.0000360264, 8640000000.0000000000, 5.2730800607, 22.1221247990, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0061090000, 0.0064759205, 0.0000116000, 0.0000387847, 8640000000.0000000000, 5.2730800698, 22.7629155725, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0062580000, 0.0066249205, 0.0000116000, 0.0000415268, 8640000000.0000000000, 5.2730800788, 23.3562695299, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0064070000, 0.0067739205, 0.0000116000, 0.0000442513, 8640000000.0000000000, 5.2730800411, 23.9082171343, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0065560000, 0.0069229205, 0.0000116000, 0.0000469568, 8640000000.0000000000, 5.2730800501, 24.4236736394, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0067050000, 0.0070719205, 0.0000116000, 0.0000496421, 8640000000.0000000000, 5.2730800592, 24.9066978662, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0068540000, 0.0072209205, 0.0000116000, 0.0000523057, 8640000000.0000000000, 5.2730800683, 25.3606799978, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0070030000, 0.0073699205, 0.0000116000, 0.0000549464, 8640000000.0000000000, 5.2730800773, 25.7884805447, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0071520000, 0.0075189205, 0.0000116000, 0.0000575628, 8640000000.0000000000, 5.2730800396, 26.1925349662, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0073010000, 0.0076679205, 0.0000116000, 0.0000601536, 8640000000.0000000000, 5.2730800486, 26.5749336547, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0074500000, 0.0078169205, 0.0000116000, 0.0000627176, 8640000000.0000000000, 5.2730800577, 26.9374839320, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0075990000, 0.0079659205, 0.0000116000, 0.0000652534, 8640000000.0000000000, 5.2730800667, 27.2817587041, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0077480000, 0.0081149205, 0.0000116000, 0.0000677597, 8640000000.0000000000, 5.2730800758, 27.6091350766, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0078970000, 0.0082639205, 0.0000116000, 0.0000702354, 8640000000.0000000000, 5.2730801317, 27.9208253188, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0080460000, 0.0084129205, 0.0000116000, 0.0000726792, 8640000000.0000000000, 5.2730801407, 28.2179019251, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0081950000, 0.0085619205, 0.0000116000, 0.0000750898, 8640000000.0000000000, 5.2730800561, 28.5013180746, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0083440000, 0.0087109205, 0.0000116000, 0.0000774660, 8640000000.0000000000, 5.2730800652, 28.7719244673, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0084930000, 0.0088599205, 0.0000116000, 0.0000798067, 8640000000.0000000000, 5.2730800743, 29.0304832781, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0086420000, 0.0090089205, 0.0000116000, 0.0000821106, 8640000000.0000000000, 5.2730800833, 29.2776798030, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0087910000, 0.0091579205, 0.0000116000, 0.0000843765, 8640000000.0000000000, 5.2730800924, 29.5141322385, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0089400000, 0.0093069205, 0.0000116000, 0.0000866034, 8640000000.0000000000, 5.2730801014, 29.7403999433, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0090890000, 0.0094559205, 0.0000116000, 0.0000887901, 8640000000.0000000000, 5.2730801105, 29.9569904543, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0092380000, 0.0096049205, 0.0000116000, 0.0000909355, 8640000000.0000000000, 5.2730801195, 30.1643654761, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0093870000, 0.0097539205, 0.0000116000, 0.0000930384, 8640000000.0000000000, 5.2730801286, 30.3629460193, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0095360000, 0.0099029205, 0.0000116000, 0.0000950979, 8640000000.0000000000, 5.2730801377, 30.5531168263, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0096850000, 0.0100519205, 0.0000116000, 0.0000971128, 8640000000.0000000000, 5.2730800531, 30.7352302012, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0098340000, 0.0102009205, 0.0000116000, 0.0000990822, 8640000000.0000000000, 5.2730800621, 30.9096093361, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0099830000, 0.0103499205, 0.0000116000, 0.0001010049, 8640000000.0000000000, 5.2730800712, 31.0765512115, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0101320000, 0.0104989205, 0.0000116000, 0.0001028801, 8640000000.0000000000, 5.2730800803, 31.2363291325, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0102810000, 0.0106479205, 0.0000116000, 0.0001047068, 8640000000.0000000000, 5.2730800893, 31.3891949556, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0104300000, 0.0107969205, 0.0000116000, 0.0001064839, 8640000000.0000000000, 5.2730800984, 31.5353810487, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0105790000, 0.0109459205, 0.0000116000, 0.0001082107, 8640000000.0000000000, 5.2730801074, 31.6751020210, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0107280000, 0.0110949205, 0.0000116000, 0.0001098861, 8640000000.0000000000, 5.2730801165, 31.8085562545, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0108770000, 0.0112439205, 0.0000116000, 0.0001115094, 8640000000.0000000000, 5.2730801256, 31.9359272631, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0110260000, 0.0113929205, 0.0000116000, 0.0001130796, 8640000000.0000000000, 5.2730801346, 32.0573849003, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
0.0111750000, 0.0115419205, 0.0000116000, 0.0001145960, 8640000000.0000000000, 5.2730800500, 32.1730864367, 0.0001490000, angry_deer_sas, Tx-angry_deer_sas, Search, MPRF, 0, 0.0000000000, -0.0000000000, 110.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, 0.0000000000, UNMODULATED, 0, 0, 0 
